col2020,col2021,fuzz_ratio
Response ID,Response ID,100
Response ID,What year were you born?  ,22
Response ID,What is your gender?  ,30
Response ID,"How long have you been in your current job?  If you have more than one job, please answer all questions for your main job.  ",9
Response ID,Which of the following best describes your industry?  ,18
Response ID,Which of the following best describes your current occupation?  ,16
Response ID,How many people are currently employed by your organisation?   ,16
Response ID,Which of the following best describes your household?  ,18
Response ID,Metro or Regional,29
Response ID,"Thinking about your current job, how much of your work time did you spend working remotely in the last quarter of last year?   This means October-December 2020  If you work a 5 day week, each day of remote working equals 20% of your time.  ",7
Response ID,"How much of your work time would you have preferred to work remotely during the last quarter of last year?   This means October-December 2020  If you work a 5 day week, each day of remote working equals 20% of your time.  ",7
Response ID,"Thinking about your current job, how much of your work time have you spent working remotely this year?  If you work a 5 day week, each day of remote working equals 20% of your time.  ",9
Response ID,"How much of your work time would you have preferred to work remotely so far this year?  If you work a 5 day week, each day of remote working equals 20% of your time.  ",8
Response ID,"Imagine that COVID-19 is cured or eradicated.   Going forward, how much of your work time would you prefer to work remotely?  If you work a 5 day week, each day of remote working equals 20% of your time.  ",7
Response ID,These questions are about the remote working arrangements in your organisation.  Has your employer changed or updated their policy on remote work since COVID-19?   This means since February/March 2020  ,9
Response ID,"In the past 6 months, have you ever worked part of your day remotely, and part of it at your employer’s workplace?",11
Response ID,How often do you work this way?  ,18
Response ID,How often would you like to work this way?  ,15
Response ID,Does your employer have a policy that workers must be at the employer’s workplace some of the time?  ,12
Response ID,"How much of your work time does your employer’s policy require you to be at their workplace?  If you work a 5 day week, 1 day equals 20% of your work time.  ",10
Response ID,"Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - My employer’s remote working policy suits me",7
Response ID,"Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - I get to choose how much work I do remotely",8
Response ID,"Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - I choose which days I work remotely",8
Response ID,"Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - My direct manager has discretion to allow or deny remote work",7
Response ID,How do you feel about your employer’s remote working policy?  ,16
Response ID,"Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - My organisation encouraged people to work remotely",7
Response ID,"Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - My organisation was well prepared for me to work remotely",7
Response ID,"Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - It was common for people in my organisation to work remotely",8
Response ID,"Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - It was easy to get permission to work remotely",8
Response ID,"Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - I could easily collaborate with colleagues when working remotely",7
Response ID,"Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - Working remotely reduces my chances of promotion",7
Response ID,"Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - I take more regular breaks while working remotely",8
Response ID,Do you think remote working is a positive or a negative for your employer?  ,16
Response ID,Who is most supportive of remote working in your organisation?  ,16
Response ID,Imagine that COVID-19 is cured or eradicated.    How likely would you consider the following statements?   - My employer would encourage more remote working,8
Response ID,Imagine that COVID-19 is cured or eradicated.    How likely would you consider the following statements?   - My employer would make changes to support remote working,9
Response ID,Imagine that COVID-19 is cured or eradicated.    How likely would you consider the following statements?   - I would have more choice about whether I work remotely,9
Response ID,"Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities?   For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Preparing for work and commuting",5
