year,Response ID,variable,value,var_name_edit,var_group_1,var_group_2
2021,1,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,No answer / not applicable,manage_remote_helps_retain,Managing people remotely,helps retain
2021,2,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,No answer / not applicable,manage_remote_helps_retain,Managing people remotely,helps retain
2021,3,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,No answer / not applicable,manage_remote_helps_retain,Managing people remotely,helps retain
2021,4,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,Neither agree nor disagree,manage_remote_helps_retain,Managing people remotely,helps retain
2021,5,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,No answer / not applicable,manage_remote_helps_retain,Managing people remotely,helps retain
2021,6,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,No answer / not applicable,manage_remote_helps_retain,Managing people remotely,helps retain
2021,7,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,Somewhat agree,manage_remote_helps_retain,Managing people remotely,helps retain
2021,8,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,No answer / not applicable,manage_remote_helps_retain,Managing people remotely,helps retain
2021,9,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,No answer / not applicable,manage_remote_helps_retain,Managing people remotely,helps retain
2021,10,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,No answer / not applicable,manage_remote_helps_retain,Managing people remotely,helps retain
2021,11,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,Strongly agree,manage_remote_helps_retain,Managing people remotely,helps retain
2021,12,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,Neither agree nor disagree,manage_remote_helps_retain,Managing people remotely,helps retain
2021,13,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,Somewhat agree,manage_remote_helps_retain,Managing people remotely,helps retain
2021,14,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,No answer / not applicable,manage_remote_helps_retain,Managing people remotely,helps retain
2021,15,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,No answer / not applicable,manage_remote_helps_retain,Managing people remotely,helps retain
2021,16,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,Neither agree nor disagree,manage_remote_helps_retain,Managing people remotely,helps retain
2021,17,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,No answer / not applicable,manage_remote_helps_retain,Managing people remotely,helps retain
2021,18,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,Strongly agree,manage_remote_helps_retain,Managing people remotely,helps retain
2021,19,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,Somewhat agree,manage_remote_helps_retain,Managing people remotely,helps retain
2021,20,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,No answer / not applicable,manage_remote_helps_retain,Managing people remotely,helps retain
2021,21,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,No answer / not applicable,manage_remote_helps_retain,Managing people remotely,helps retain
2021,22,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,Strongly agree,manage_remote_helps_retain,Managing people remotely,helps retain
2021,23,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,Somewhat disagree,manage_remote_helps_retain,Managing people remotely,helps retain
2021,24,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,Somewhat agree,manage_remote_helps_retain,Managing people remotely,helps retain
2021,25,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,No answer / not applicable,manage_remote_helps_retain,Managing people remotely,helps retain
2021,26,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,No answer / not applicable,manage_remote_helps_retain,Managing people remotely,helps retain
2021,27,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,No answer / not applicable,manage_remote_helps_retain,Managing people remotely,helps retain
2021,28,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,Somewhat agree,manage_remote_helps_retain,Managing people remotely,helps retain
2021,29,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,Strongly agree,manage_remote_helps_retain,Managing people remotely,helps retain
2021,30,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,No answer / not applicable,manage_remote_helps_retain,Managing people remotely,helps retain
2021,31,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,No answer / not applicable,manage_remote_helps_retain,Managing people remotely,helps retain
2021,32,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,Neither agree nor disagree,manage_remote_helps_retain,Managing people remotely,helps retain
2021,33,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,Neither agree nor disagree,manage_remote_helps_retain,Managing people remotely,helps retain
2021,34,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,No answer / not applicable,manage_remote_helps_retain,Managing people remotely,helps retain
2021,35,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,No answer / not applicable,manage_remote_helps_retain,Managing people remotely,helps retain
2021,36,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,Somewhat agree,manage_remote_helps_retain,Managing people remotely,helps retain
2021,37,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,No answer / not applicable,manage_remote_helps_retain,Managing people remotely,helps retain
2021,38,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,Strongly agree,manage_remote_helps_retain,Managing people remotely,helps retain
2021,39,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,Strongly agree,manage_remote_helps_retain,Managing people remotely,helps retain
2021,40,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,Somewhat agree,manage_remote_helps_retain,Managing people remotely,helps retain
2021,41,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,Somewhat disagree,manage_remote_helps_retain,Managing people remotely,helps retain
2021,42,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,Strongly agree,manage_remote_helps_retain,Managing people remotely,helps retain
